Timestamp,Full Name,Email Address,Phone Number,Budget Range,Preferred Property Type,Preferred Location,Other than above listed locations,Property Size Preference,Other than above listed Sizes,Purpose of Investment,Number of Bedrooms,Importance of Security,Nearby Facilities,Do you want AI-Based Renovation & Design Suggestions?,Interior Style Preference,Renovation Budget ( PKR ),Focus Area for Renovation ( Multiple Choice ),Rental Optimization Goal,Would you Like Ai to estimate ROI ( Return on Investment ) after renovation?,Additional Comments / Requirements,Email Address.1,clean_area_sqft,budget_min,budget_max,budget_center,budget_range,preferred_type,preferred_location,preferred_location_key,preferred_bedrooms,preferred_area,security_importance,purpose_encoded
12/08/2025 23:59,Ahmed Raza,ahmed.raza91@yahoo.com,0333-5678901,45 Crore - 70 Crore,House,F-6/3,,2 Kanal,,Living ( Self Use ),6+,Very Important,"Near School, Near Hospital, Near Metro / Main Road",Yes,Luxury,50 Lakh +,"Whole House, Outdoor / Garden",Attract Long - Term Tenants,Yes,Old renovated preferred,ahmed.raza91@yahoo.com,10890,450000000.0,700000000.0,575000000.0,250000000.0,house,F-6/3,f63,6.0,10890,1.5,1.0
12/08/2025 23:45,Fatima Khan,fatima.khan88@gmail.com,0345-1234567,28 Crore - 42 Crore,House,F-7/2,,1 Kanal,,Rental Income,5,Very Important,"Near Metro / Main Road, Parks & Commercial Area Nearby",Yes,Modern,50 Lakh +,"Kitchen, Bedrooms, Bathrooms, Living Room",Increase Rental Value,Yes,Corner + park facing,fatima.khan88@gmail.com,5445,280000000.0,420000000.0,350000000.0,140000000.0,house,F-7/2,f72,5.0,5445,1.5,2.0
12/08/2025 23:30,Hassan Ali,hassan.ali321@outlook.com,0300-9876543,15 Crore - 24 Crore,House,F-8/4,,1 Kanal,,Living ( Self Use ),4+,Very Important,"Near School, Near Hospital",Yes,Luxury,25 - 50 Lakh,Whole House,Attract Long - Term Tenants,Yes,Owner-built only,hassan.ali321@outlook.com,5445,150000000.0,240000000.0,195000000.0,90000000.0,house,F-8/4,f84,4.0,5445,1.5,1.0
12/08/2025 23:15,Sana Malik,sana.malik76@hotmail.com,0321-5550192,9 Crore - 14 Crore,House,E-7,,1 Kanal,,Living ( Self Use ),4+,Very Important,Near Metro / Main Road,Yes,Modern,25 - 50 Lakh,"Kitchen, Bedrooms, Outdoor / Garden",Increase Rental Value,Yes,Renovated last 5 years,sana.malik76@hotmail.com,5445,90000000.0,140000000.0,115000000.0,50000000.0,house,E-7,e7,4.0,5445,1.5,1.0
12/08/2025 23:00,Bilal Ahmed,bilal.ahmed44@yahoo.com,0334-1122334,11 Crore - 18 Crore,House,F-10/2,,1 Kanal,,Rental Income,5,Very Important,"Near School, Parks & Commercial Area Nearby",Yes,Luxury,50 Lakh +,Whole House,Increase Rental Value,Yes,Designer finishes,bilal.ahmed44@yahoo.com,5445,110000000.0,180000000.0,145000000.0,70000000.0,house,F-10/2,f102,5.0,5445,1.5,2.0
12/08/2025 22:45,Ayesha Butt,ayesha.butt90@gmail.com,0315-9988776,6.5 Crore - 9.5 Crore,House,DHA Phase 2,,1 Kanal,,Living ( Self Use ),5,Very Important,"Near School, Near Hospital",Yes,Modern,25 - 50 Lakh,"Kitchen, Bedrooms, Bathrooms",Increase Rental Value,Yes,Phase 2 only,ayesha.butt90@gmail.com,5445,65000000.0,95000000.0,80000000.0,30000000.0,house,DHA Phase 2,dhaphase2,5.0,5445,1.5,1.0
12/08/2025 22:30,Owais Khan,owais.khan33@outlook.com,0345-6677889,4.8 Crore - 7.2 Crore,House,DHA Phase 5,,10 Marla,,Rental Income,4,Very Important,Parks & Commercial Area Nearby,Yes,Modern,10 - 25 Lakh,Whole House,Attract Long - Term Tenants,Yes,Brand new preferred,owais.khan33@outlook.com,2722,48000000.0,72000000.0,60000000.0,24000000.0,house,DHA Phase 5,dhaphase5,4.0,2722,1.5,2.0
12/08/2025 22:15,Zainab Farooq,zainab.farooq55@gmail.com,0331-2233445,3.8 Crore - 5.9 Crore,House,Bahria Phase 4,,10 Marla,,Living ( Self Use ),4,Very Important,"Near School, Near Hospital",Yes,Luxury,10 - 25 Lakh,"Kitchen, Living Room",Increase Rental Value,Yes,Corner + extra land,zainab.farooq55@gmail.com,2722,38000000.0,59000000.0,48500000.0,21000000.0,house,Bahria Phase 4,bahriaphase4,4.0,2722,1.5,1.0
12/08/2025 22:00,Hassan Tariq,hassan.tariq88@yahoo.com,0322-4455667,2.9 Crore - 4.3 Crore,House,G-13/4,,10 Marla,,Living ( Self Use ),4,Very Important,Near Metro / Main Road,Yes,Modern,10 - 25 Lakh,"Bedrooms, Bathrooms",Attract Long - Term Tenants,Yes,40x80 cutting,hassan.tariq88@yahoo.com,2722,29000000.0,43000000.0,36000000.0,14000000.0,house,G-13/4,g134,4.0,2722,1.5,1.0
12/08/2025 21:45,Amna Siddiqui,amna.siddiqui22@hotmail.com,0311-8899001,2.4 Crore - 3.6 Crore,House,G-15/3,,8 Marla,,Rental Income,3,Very Important,Parks & Commercial Area Nearby,Yes,Traditional,Less than 10 Lakh,"Kitchen, Bedrooms",Increase Rental Value,Yes,Ready to move,amna.siddiqui22@hotmail.com,2178,24000000.0,36000000.0,30000000.0,12000000.0,house,G-15/3,g153,3.0,2178,1.5,2.0
12/08/2025 21:30,Fatima Hussain,fatima.hussain77@gmail.com,0300-1122334,1.75 Crore - 2.6 Crore,House,B-17 Block C,,10 Marla,,Living ( Self Use ),4,Very Important,Near School,Yes,Modern,10 - 25 Lakh,Whole House,Increase Rental Value,Yes,Block C only,fatima.hussain77@gmail.com,2722,17500000.0,26000000.0,21750000.0,8500000.0,house,B-17 Block C,b17blockc,4.0,2722,1.5,1.0
12/08/2025 21:15,Usman Raza,usman.raza66@outlook.com,0333-5544332,98 Lakh - 1.45 Crore,House,Faisal Hills Block A,,7 Marla,,Living ( Self Use ),3,Somewhat Important,Near Metro / Main Road,Yes,Traditional,Less than 10 Lakh,"Bedrooms, Living Room",Attract Long - Term Tenants,Yes,Installment OK,usman.raza66@outlook.com,1907,9800000.0,14500000.0,12150000.0,4700000.0,house,Faisal Hills Block A,faisalhillsblocka,3.0,1907,1.2,1.0
12/08/2025 21:00,Kalsoom Shah,kalsoom.shah11@yahoo.com,0344-7788990,65 Lakh - 98 Lakh,Residential Plot,Faisal Hills Block B,,5 Marla,,Resale ( Profit ),,Very Important,Near School,No,Not Sure ( Need Suggestions ),Less than 10 Lakh,Whole House,Increase Rental Value,Yes,Possession plot,kalsoom.shah11@yahoo.com,1361,6500000.0,9800000.0,8150000.0,3300000.0,residential plot,Faisal Hills Block B,faisalhillsblockb,3.0,1361,1.5,3.0
